Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
